gene	log2FC	FDR
TUFMP1	2.69176991275658	1.64009167638811e-77
AL353752.1	3.51968995595822	2.45197678298926e-77
HSP90B3P	2.69400824674299	2.70347484780264e-77
AL669983.1	3.08182583320142	3.62361964618925e-77
CCL20	2.96490851256545	6.06028316119292e-77
PPIAP10	3.4324720588513	9.22998781658138e-77
RPSAP29	2.16423736509723	2.19439714954007e-76
AC132825.1	2.32289800878804	3.85695714172651e-76
AL672212.1	3.25188072672637	3.95755604910374e-76
AC108734.2	2.69733174947554	4.88157260951661e-76
RPL19P21	2.03743228034445	6.4044379704286e-76
TPT1P14	3.0972532260054	7.14938290674399e-76
RPS7P5	3.56467032636101	8.7639352556427e-76
AC008677.2	2.66018243834566	1.05070875830483e-75
PTX3	3.20119713896668	1.11053438476641e-75
RPS3P7	2.91016562508753	1.28586209215668e-75
LGALS3	2.61300637889814	1.37306463029869e-75
MMP13	3.80551341743992	1.4338091409919e-75
AC092418.1	2.80983520116128	1.50924984812681e-75
AL034417.1	2.4190418587996	2.16405757402729e-75
AL590644.1	5.21110513308807	2.31576831824846e-75
LDHAP4	2.00329956201998	2.56473531668365e-75
CXCL8	3.93277301299354	3.24832928779702e-75
RPL23AP8	2.92546113097937	4.40464183168352e-75
PPIAP50	2.80061355011826	4.73928260171876e-75
LGALS1	2.03453811434455	7.09935663320035e-75
RPL7P37	2.8529071002444	7.28847975747309e-75
RPS3AP12	2.29863973310527	1.01323650620788e-74
TPI1P4	3.34328974334255	1.08605022517563e-74
RPSAP28	2.88045239040328	1.73622926683638e-74
AC018523.1	2.15828924984475	1.85724658133924e-74
RPL9P28	2.61006208569158	2.54098913909663e-74
AC010368.1	3.08081533810635	4.10984042504135e-74
RPSAP24	3.34380299555366	4.18891635846321e-74
SMIM3	2.03481366231371	4.67541668111252e-74
KDELR3	2.56714006044566	5.26696177097272e-74
RPL31P11	2.46481633526874	7.27488323254815e-74
RPS15P9	3.02633013183849	1.74103629751036e-73
ANXA2P2	2.88918831421181	1.91120747349343e-73
TUBBP2	2.21457002452383	2.95763368798563e-73
AC008753.1	2.86779883980551	4.75596137840446e-73
RPSAP6	2.49880618366537	5.53587204546958e-73
GAPDHP51	3.12360976080578	6.05739113731932e-73
AL158047.1	3.02845179471778	6.12839954738717e-73
AC022968.1	2.46782689102387	1.06582272413251e-72
CHCHD2P8	3.07606447737791	1.09019723278254e-72
MT2P1	3.23746702891291	1.21906534454775e-72
